a,b
37.962,50.5
143.708,51
538.243,51.5
1935.23,52
5930.74,52.5
9170.82,53
2889.63,53.5
7807.61,54
6504.57,54.5
8639.78,55
4465.77,55.5
9391.55,56
2171.44,56.5
6459.71,57
8690.31,57.5
4325.02,58
9326.87,58.5
2385.71,59
6902.89,59.5
8124.03,60
5791.37,60.5
9262.02,61
2597.37,61.5
7306.41,62
7478.58,62.5
7165.52,63
7718,63.5
6692.74,64
8411.15,64.5
5078.33,65
9497.67,65.5
1812.97,66
5640.28,66.5
9344.21,67
2328.56,67.5
6788.11,68
8285.02,68.5
5399.29,69
9439.42,69.5
2010.8,70
6104.58,70.5
9036.36,71
3308.96,71.5
8413.35,72
5072.63,72.5
9498,73
1811.85,73.5
5637.58,74
9345.53,74.5
2324.23,75
6779.29,75.5
8296.97,76
5369.39,76.5
9448.15,77
1981.31,77.5
6037.25,78
9091.16,78.5
3139.71,79
8184.95,79.5
5645.32,80
9341.75,80.5
2336.69,81
6804.58,81.5
8262.52,82
5455.26,82.5
9421.24,83
2072,83.5
6242.19,84
8913.65,84.5
3679.67,85
8837.56,85.5
3903.79,86
9043.36,86.5
3287.47,87
8385.55,87.5
5144.46,88
9492.07,88.5
1832.1,89
5686.47,89.5
9320.93,90
2405.24,90.5
6941.54,91
8067.57,91.5
5924.21,92
9175.41,92.5
2875.05,93
7784.14,93.5
6554.46,94
8581.79,94.5
4624.9,95
9446.53,95.5
1986.76,96
6049.76,96.5
9081.24,97
3170.51,97.5
8228.13,98
5540.09,98.5
9389.15,99
2179.42,99.5
6476.85,100
