a,b
38.961,100.5
151.356,101
581.354,101.5
2135.47,102
6549.84,102.5
8813.22,103
4079.16,103.5
9419.3,104
2133.21,104.5
6544.79,105
8819.32,105.5
4061,106
9406.13,106.5
2178.54,107
6645.35,107.5
8694.2,108
4427.62,108.5
9622.23,109
1417.64,109.5
4745.02,110
9724.64,110.5
1044.32,111
3647.5,111.5
9036.59,112
3395.31,112.5
8745.74,113
4278.09,113.5
9546.75,114
1687.56,114.5
5470.83,115
9663.54,115.5
1268.03,116
4318.24,116.5
9568.73,117
1609.43,117.5
5266.56,118
9722.29,118.5
1053,119
3674.26,119.5
9064.54,120
3307,120.5
8632.17,121
4604.87,121.5
9689.11,122
1174.78,122.5
4043.4,123
9393.12,123.5
2223.21,124
6742.87,124.5
8565.34,125
4792.46,125.5
9733.2,126
1012.75,126.5
3549.72,127
8929.71,127.5
3727.39,128
9118.38,128.5
3135.18,129
8393.75,129.5
5258.15,130
9724.01,130.5
1046.66,131
3654.73,131.5
9044.19,132
3371.36,132.5
8715.53,133
4365.98,133.5
9593.23,134
1521.89,134.5
5032.07,135
9749.6,135.5
952.111,136
3359.69,136.5
8700.66,137
4408.99,137.5
9613.77,138
1448.11,138.5
4829.78,139
9738.7,139.5
992.444,140
3486.4,140.5
8856.52,141
3949.64,141.5
9319.73,142
2472.59,142.5
7258.75,143
7760.24,143.5
6778.62,144
8516.24,144.5
4928.07,145
9747.98,145.5
958.1,146
3378.59,146.5
8724.7,147
4339.38,147.5
9579.8,148
1569.93,148.5
5161.5,149
9739.83,149.5
988.273,150
