a,b
9250,0.5
2566.87,1
7059.56,1.5
7680.53,2
6591.46,2.5
8312.89,3
5189.16,3.5
9236.76,4
2608.45,4.5
7133.78,5
7565.39,5.5
6814.95,6
8031.2,6.5
5850.37,7
8982.44,7.5
3381.87,8
8281.21,8.5
5266.46,9
9223.73,9.5
2649.24,10
7205.35,10.5
7450.47,11
7028.22,11.5
7727.95,12
6496.57,12.5
8421.3,13
4919.04,13.5
9247.57,14
2574.5,14.5
7073.27,15
7659.57,15.5
6632.87,16
8263.48,16.5
5309.38,17
9214.58,17.5
2677.79,18
7254.72,18.5
7369.01,19
7173.48,19.5
7502.11,20
6933.59,20.5
7866.65,21
6209.46,21.5
8708.77,22
4160.66,22.5
8989.34,23
3361.51,23.5
8256.68,24
5325.78,24.5
9210.73,25
2689.81,25.5
7275.32,26
7334.49,26.5
7233.57,27
7404.14,27.5
7111.44,28
7600.47,28.5
6747.9,29
8119.6,29.5
5649.2,30
9094.06,30.5
3048.32,31
7840.64,31.5
6264.37,32
8658.5,32.5
4297.68,33
9067.5,33.5
3128.53,34
7954.11,34.5
6021.1,35
8864.22,35.5
3725.09,36
8648.61,36.5
4324.44,37
9081.14,37.5
3087.39,38
7896.52,38.5
6145.77,39
8764.27,39.5
4007.2,40
8885.31,40.5
3664.62,41
8590.2,41.5
4480.88,42
9150.29,42.5
2876.78,43
7582.02,43.5
6783.27,44
8073.38,44.5
5755.11,45
9039.03,45.5
3213.91,46
8069.65,46.5
5763.57,47
9034.27,47.5
3228.11,48
8088.35,48.5
5720.97,49
9057.68,49.5
3158.04,50
