a,b
9500,50.5
1805,51
5620.95,51.5
9353.48,52
2297.94,52.5
6725.57,53
8368.51,53.5
5188.19,54
9486.54,54.5
1850.96,55
5731.74,55.5
9296.53,56
2485.14,56.5
7096.68,57
7829.49,57.5
6457.71,58
8692.54,58.5
4318.77,59
9323.65,59.5
2396.3,60
6923.88,60.5
8093.5,61
5863.51,61.5
9216.65,62
2743.54,62.5
7565.18,63
6999.54,63.5
7980.7,64
6123.87,64.5
9020.03,65
3358.97,65.5
8476.66,66
4906.87,66.5
9496.7,67
1816.27,67.5
5648.26,68
9340.31,68.5
2341.46,69
6814.22,69.5
8249.27,70
5488.05,70.5
9409.49,71
2111.45,71.5
6329.38,72
8828.45,72.5
3930.34,73
9065.22,73.5
3220.13,74
8296.18,74.5
5371.37,75
9447.59,75.5
1983.19,76
6041.57,76.5
9087.75,77
3150.3,77.5
8199.88,78
5609.1,78.5
9359.02,79
2279.6,79.5
6687.78,80
8417.53,80.5
5061.79,81
9498.55,81.5
1809.96,82
5632.99,82.5
9347.74,83
2316.9,83.5
6764.38,84
8317.05,84.5
5318.94,85
9461.35,85.5
1936.63,86
5933.99,86.5
9168.51,87
2896.93,87.5
7819.29,88
6479.61,88.5
8668.09,89
4387.15,89.5
9357.28,90
2285.37,90.5
6699.7,91
8402.19,91.5
5101.55,92
9496.08,92.5
1818.4,93
5653.41,93.5
9337.76,94
2349.86,94.5
6831.16,95
8225.8,95.5
5545.81,96
9386.8,96.5
2187.29,97
6493.69,97.5
8652.18,98
4431.4,98.5
9377.14,99
2219.44,99.5
6562.02,100
